A3RP	Revenge of Shinobi, The (Europe) (En,Fr,De,Es,It) (Beta)
A3RP	Revenge of Shinobi, The (Europe) (En,Fr,De,Es,It)
A3TE	Three Stooges, The (USA)
A3UJ	Mother 3 (Japan) (Virtual Console)
A3UJ	Mother 3 (Japan)
A3VE	Sonic Pinball Party (USA) (En,Ja,Fr,De,Es,It)
A3VP	Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It)
A3WJ	Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle!! Seiryuu no Shou - Takao Hen (Japan)
A3XE	Megaman - Battle Network 3 - Blue Version (USA) (Virtual Console)
A3XE	Megaman - Battle Network 3 - Blue Version (USA)
A3XJ	Battle Network - Rockman EXE 3 - Black (Japan) (Promo)
A3XJ	Battle Network - Rockman EXE 3 - Black (Japan) (Rev 1) (Virtual Console)
A3XJ	Battle Network - Rockman EXE 3 - Black (Japan) (Rev 1)
A3XP	Megaman - Battle Network 3 - Blue Version (Europe) (Virtual Console)
A3XP	Megaman - Battle Network 3 - Blue Version (Europe)
A3ZE	Street Jam Basketball (USA, Europe)
A4AE	Simpsons, The - Road Rage (USA, Europe)
A4AX	Simpsons, The - Road Rage (Europe) (En,Fr,De,Es,It)
A4BE	Monster! Bass Fishing (USA)
A4BP	Monster! Bass Fishing (Europe)
A4CE	I Spy Challenger! (USA)
A4DE	Disney Sports - Skateboarding (USA)
A4DJ	Disney Sports - Skateboarding (Japan)
A4DP	Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)
A4GE	Zatchbell! - Electric Arena (USA)
A4GJ	Konjiki no Gashbell!! - Unare! Yuujou no Zakeru (Japan)
A4KJ	Hamster Club 4 - Shigetchi Daidassou (Japan)
A4LJ	Sylvanian Families 4 - Meguru Kisetsu no Tapestry (Japan)
A4MP	Manic Miner (Europe) (En,Fr,De,Es,It)
A4ND	Harvest Moon - Friends of Mineral Town (Germany)
A4NE	Harvest Moon - Friends of Mineral Town (USA)
A4NJ	Bokujou Monogatari - Mineral Town no Nakama-tachi (Japan)
A4NP	Harvest Moon - Friends of Mineral Town (Europe)
A4PJ	Sister Princess - RePure (Japan)
A4RE	Rock 'N Roll Racing (USA)
A4RP	Rock 'N Roll Racing (Europe)
A4SJ	Spyro Advance (Japan)
A4VJ	Yuujou no Victory Goal 4v4 Arashi - Get the Goal!! (Japan)
A4WJ	Gachasute! Dino Device 2 - Phoenix (Japan)
A4XJ	Gachasute! Dino Device 2 - Dragon (Japan)
A52J	Koukou Juken Advance Series Eitango Hen - 2000 Words Shuuroku (Japan)
A53J	Koukou Juken Advance Series Eijukugo Hen - 650 Phrases Shuuroku (Japan)
A54J	Koukou Juken Advance Series Eigo Koubun Hen - 26 Units Shuuroku (Japan)
A55D	Wer Wird Millionaer (Germany)
A55F	Qui Veut Gagner des Millions (France)
A55H	Weekend Miljonairs (Netherlands)
A55I	Chi Vuol Essere Milionario (Italy)
A55P	Who Wants to Be a Millionaire (Europe)
A55S	Quiere Ser Millonario (Spain)
A55U	Who Wants to Be a Millionaire (Australia)
A56J	Dokidoki Cooking Series 1 - Komugi-chan no Happy Cake (Japan)
A57J	Scan Hunter - Sennen Kaigyo o Oe! (Japan)
A59J	Toukon Heat (Japan)
A5AE	Bionicle - Matoran Adventures (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,Da)
A5BJ	Chocobo Land - A Game of Dice (Japan)
A5CE	SimCity 2000 (USA) (Rev 1)
A5CE	SimCity 2000 (USA)
A5CP	SimCity 2000 (Europe) (En,Fr,De,Es,It) (Rev 1)
A5CP	SimCity 2000 (Europe) (En,Fr,De,Es,It)
A5DE	Disney Sports - Snowboarding (USA)
A5DJ	Disney Sports - Snowboarding (Japan)
A5DP	Disney Sports - Snowboarding (Europe) (En,Fr,De,Es,It)
A5GJ	Dragon Drive - World D Break (Japan)
A5KJ	Medarot Ni Core - Kabuto (Japan) (Rev 1) (Virtual Console)
A5KJ	Medarot Ni Core - Kabuto (Japan) (Rev 1)
A5KJ	Medarot Ni Core - Kabuto (Japan)
A5ME	MLB SlugFest 2004 (USA)
A5NE	Donkey Kong Country (USA)
A5NE	Donkey Kong Country 3 (USA) (Beta) (2005-05-06)
A5NJ	Super Donkey Kong (Japan)
A5NP	Donkey Kong Country (Europe) (En,Fr,De,Es,It)
A5PJ	Power Pro Kun Pocket 5 (Japan) (Demo) (Kiosk)
A5PJ	Power Pro Kun Pocket 5 (Japan) (Rev 1)
A5PJ	Power Pro Kun Pocket 5 (Japan)
A5QJ	Medarot Ni Core - Kuwagata (Japan) (Virtual Console)
A5QJ	Medarot Ni Core - Kuwagata (Japan)
A5SJ	Oshare Wanko (Japan)
A5TJ	Shin Megami Tensei II (Japan)
A5UE	Space Channel 5 - Ulala's Cosmic Attack (USA)
A5UP	Space Channel 5 - Ulala's Cosmic Attack (Europe)
A5WE	Rugrats - Go Wild (USA, Europe)
A5WF	Razmoket Rencontrent les Delajungle, Les (France)
A62E	Megaman Zero 2 (USA) (Virtual Console)
A62E	Megaman Zero 2 (USA)
A62J	Rockman Zero 2 (Japan) (Virtual Console)
A62J	Rockman Zero 2 (Japan)
A62P	Megaman Zero 2 (Europe) (Virtual Console)
A62P	Megaman Zero 2 (Europe)
A63J	Kawaii Pet Shop Monogatari 3 (Japan)
A64J	Shimura Ken no Baka Tonosama - Bakushou Tenka Touitsu Game (Japan) (Rev 1)
A64J	Shimura Ken no Baka Tonosama - Bakushou Tenka Touitsu Game (Japan)
A6BE	Megaman - Battle Network 3 - White Version (USA) (Virtual Console)
A6BE	Megaman - Battle Network 3 - White Version (USA)
A6BJ	Battle Network - Rockman EXE 3 (Japan) (Rev 1) (Virtual Console)
A6BJ	Battle Network - Rockman EXE 3 (Japan) (Rev 1)
A6BJ	Battle Network - Rockman EXE 3 (Japan)
A6BP	Megaman - Battle Network 3 - White Version (Europe) (Virtual Console)
A6BP	Megaman - Battle Network 3 - White Version (Europe)
A6CJ	Croket! - Yume no Banker Survival! (Japan)
A6DE	Disney Sports - Soccer (USA)
A6DJ	Disney Sports - Soccer (Japan)
A6DP	Disney Sports - Football (Soccer) (Europe) (En,Fr,De,Es,It)
A6GJ	Monster Gate - Ooinaru Dungeon - Fuuin no Orb (Japan)
A6ME	Megaman & Bass (USA) (Virtual Console)
A6ME	Megaman & Bass (USA)
A6MP	Megaman & Bass (Europe) (Virtual Console)
A6MP	Megaman & Bass (Europe)
A6OE	Onimusha Tactics (USA)
A6OJ	Onimusha Tactics (Japan)
A6OP	Onimusha Tactics (Europe)
A6RE	Shifting Gears - Road Trip (USA)
A6SJ	Super Robot Taisen D (Japan)
A6TP	Dr. Muto (Europe) (En,Fr,De,Es,It)
A73J	Whistle! - Dai-37-kai Tokyo-to Chuugakkou Sougou Taiiku Soccer Taikai (Japan)
A7AE	Naruto - Ninja Council (USA)
A7AJ	Naruto - Ninjutsu Zenkai! Saikyou Ninja Daikesshuu (Japan) (Rev 1)
A7AJ	Naruto - Ninjutsu Zenkai! Saikyou Ninja Daikesshuu (Japan)
A7GJ	Sengoku Kakumei Gaiden (Japan)
A7HE	Harry Potter and the Chamber of Secrets (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
A7HJ	Harry Potter to Himitsu no Heya (Japan)
A7IJ	Silk to Cotton (Japan)
A7KE	Kirby - Nightmare in Dream Land (USA) (Virtual Console)
A7KE	Kirby - Nightmare in Dream Land (USA)
A7KJ	Hoshi no Kirby - Yume no Izumi Deluxe (Japan) (Virtual Console)
A7KJ	Hoshi no Kirby - Yume no Izumi Deluxe (Japan)
A7KP	Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It) (Virtual Console)
A7KP	Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It)
A7ME	Amazing Virtual Sea-Monkeys, The (USA)
A7OE	007 - NightFire (USA, Europe) (En,Fr,De)
A7SP	Revenge of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)
A82J	Hamster Paradise - Pure Heart (Japan)
A83J	Hamster Monogatari 3 GBA (Japan)
A84E	Hamtaro - Rainbow Rescue (USA) (Proto) (2003-07-29)
A84J	Tottoko Hamutarou 4 - Nijiiro Daikoushin Dechu (Japan)
A84P	Hamtaro - Rainbow Rescue (Europe) (En,Fr,De,Es,It)
A85J	Sanrio Puroland - All Characters (Japan)
A86J	Sonic Pinball Party (Japan) (En,Ja,Fr,De,Es,It)
A87J	Ohanaya-san Monogatari GBA - Iyashikei Ohanaya-san Ikusei Game (Japan)
A88C	Maliou Yu Luyiji RPG (China) (Proto)
A88E	Mario & Luigi - Superstar Saga (USA) (Virtual Console)
A88E	Mario & Luigi - Superstar Saga (USA)
A88J	Mario & Luigi RPG (Japan) (Virtual Console)
A88J	Mario & Luigi RPG (Japan)
A88P	Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It) (Virtual Console)
A88P	Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It)
A89E	Megaman - Battle Chip Challenge (USA) (Virtual Console)
A89E	Megaman - Battle Chip Challenge (USA)
A89J	Rockman EXE - Battle Chip GP (Japan) (Virtual Console)
A89J	Rockman EXE - Battle Chip GP (Japan)
A89P	Megaman - Battle Chip Challenge (Europe) (Virtual Console)
A89P	Megaman - Battle Chip Challenge (Europe)
A8BE	Medabots - Metabee (USA) (Virtual Console)
A8BE	Medabots - Metabee (USA)
A8BP	Medabots - Metabee (Europe) (Virtual Console)
A8BP	Medabots - Metabee (Europe)
A8BS	Medabots - Metabee (Spain)
A8CJ	Card Party (Japan)
A8DJ	Doubutsu-jima no Chobigurumi (Japan) (Rev 1)
A8DJ	Doubutsu-jima no Chobigurumi (Japan)
A8EJ	Hachiemon (Japan)
A8GJ	GetBackers Dakkanya - Metropolis Dakkan Sakusen! (Japan)
A8HE	Cabela's Big Game Hunter (USA)
A8LJ	BB Ball (Japan)
A8MJ	Kotoba no Puzzle - Mojipittan Advance (Japan) (Virtual Console)
A8MJ	Kotoba no Puzzle - Mojipittan Advance (Japan)
A8NJ	Hunter X Hunter - Minna Tomodachi Daisakusen!! (Japan) (Rev 1)
A8NJ	Hunter X Hunter - Minna Tomodachi Daisakusen!! (Japan)
A8OJ	Dokidoki Cooking Series 2 - Gourmet Kitchen - Suteki na Obentou (Japan)
A8PJ	Derby Stallion Advance (Japan)
A8QE	Pirates of the Caribbean - The Curse of the Black Pearl (USA) (En,Fr,De,Es,It)
A8QP	Pirates of the Caribbean - The Curse of the Black Pearl (Europe) (En,Fr,De,Es,It)
A8RJ	Tennis no Ouji-sama 2003 - Passion Red (Japan)
A8SE	Digimon - Battle Spirit (Europe) (En,Fr,De,Es,It) (Beta)
A8SE	Digimon - Battle Spirit (USA)
A8SP	Digimon - Battle Spirit (Europe) (En,Fr,De,Es,It)
A8TJ	RPG Tsukuru Advance (Japan)
A8VJ	Boboboubo Boubobo - Ougi 87.5 Bakuretsu Hanage Shinken (Japan)
A8YJ	Best Play Pro Yakyuu (Japan)
A8ZJ	Shin Megami Tensei - Devil Children - Puzzle de Call! (Japan)
A9AE	Demon Driver - Time to Burn Rubber! (USA)
A9AP	Demon Driver - Time to Burn Rubber! (Europe)
A9BE	Medabots - Rokusho (USA) (Virtual Console)
A9BE	Medabots - Rokusho (USA)
A9BP	Medabots - Rokusho (Europe) (Virtual Console)
A9BP	Medabots - Rokusho (Europe)
A9BS	Medabots - Rokusho (Spain)
A9CE	CT Special Forces 2 - Back in the Trenches (USA) (En,Fr,De,Es,It,Nl)
A9CP	CT Special Forces - Back to Hell (Europe) (En,Fr,De,Es,It,Nl)
A9DE	Doom II (USA)
A9DP	Doom II (Europe)
A9GE	Stadium Games (USA)
A9GP	Stadium Games (Europe)
A9HJ	Dragon Quest Monsters - Caravan Heart (Japan)
A9KJ	Slime Morimori Dragon Quest - Shougeki no Shippo Dan (Japan)
A9LJ	Tennis no Ouji-sama 2003 - Cool Blue (Japan)
A9ME	Moto Racer Advance (USA) (En,Fr,De,Es,It)
A9MP	Moto Racer Advance (Europe) (En,Fr,De,Es,It)
A9NE	Piglet's Big Game (USA)
A9NX	Piglet's Big Game (Europe) (En,Fr,De,Es,It,Nl)
A9PJ	Tales of the World - Summoner's Lineage (Japan)
A9QC	Zhuanzhuanbang Tiantang (China) (Proto)
A9QJ	Kururin Paradise (Japan)
A9RE	Road Rash - Jailbreak (USA)
A9RP	Road Rash - Jailbreak (Europe) (En,Fr,De,Es,It)
A9SJ	Dancing Sword - Senkou (Japan)
A9TJ	Metal Max 2 Kai (Japan) (Rev 1)
A9TJ	Metal Max 2 Kai (Japan)
AA2C	Chaoji Maliou Shijie (China)
AA2E	Super Mario Advance 2 - Super Mario World (USA, Australia)
AA2J	Super Mario Advance 2 - Super Mario World + Mario Brothers (Japan)
AA2P	Super Mario Advance 2 - Super Mario World (Europe) (En,Fr,De,Es)
AA3E	All-Star Baseball 2003 (USA)
AA3E	All-Star Baseball 2004 (USA) (Beta 2)
AA4J	Monster Maker 4 - Flash Card (Japan)
AA5J	Monster Maker 4 - Killer Dice (Japan)
AA6E	Sum of All Fears, The (USA) (En,Fr,De,Es,It)
AA6P	Sum of All Fears, The (Europe) (En,Fr,De,Es,It)
AA7E	All-Star Baseball 2004 Featuring Derek Jeter (USA)
AA9E	Duel Masters - Sempai Legends (USA)
AA9J	Duel Masters (Japan)
AA9P	Duel Masters - Sempai Legends (Europe) (En,Fr,De,Es,It) (Beta)
AA9P	Duel Masters - Sempai Legends (Europe) (En,Fr,De,Es,It)
AABE	American Bass Challenge (USA)
AABJ	Super Black Bass Advance (Japan)
AABP	Super Black Bass Advance (Europe)
AADJ	Donald Duck Advance (Japan)
AAEE	Hey Arnold! - The Movie (Europe) (En,Fr,De) (Beta)
AAEE	Hey Arnold! - The Movie (USA)
AAEP	Hey Arnold! - The Movie (Europe) (En,Fr,De)
AAGJ	Angelique (Japan)
AAHE	Secret Agent Barbie - Royal Jewels Mission (USA)
AAHP	Secret Agent Barbie - Royal Jewels Mission (Europe) (En,Fr,De,Es,It)
AAIJ	Gachasute! Dino Device - Red (Japan)
AAJJ	Shin Kisekae Monogatari (Japan)
AAKE	AirForce Delta Storm (USA) (En,Ja,Fr,De)
AAKJ	AirForce Delta II (Japan) (En,Ja,Fr,De)
AAKP	Deadly Skies (Europe) (En,Ja,Fr,De)
AALJ	Kidou Tenshi Angelic Layer - Misaki to Yume no Tenshi-tachi (Japan)
AAME	Castlevania - Circle of the Moon (USA) (Castlevania Advance Collection)
AAME	Castlevania - Circle of the Moon (USA) (Virtual Console)
AAME	Castlevania - Circle of the Moon (USA)
AAMJ	Akumajou Dracula - Circle of the Moon (China) (Unl)
AAMJ	Akumajou Dracula - Circle of the Moon (Japan) (Castlevania Advance Collection)
AAMJ	Akumajou Dracula - Circle of the Moon (Japan) (Virtual Console)
AAMJ	Akumajou Dracula - Circle of the Moon (Japan)
AAMP	Castlevania (Europe) (Castlevania Advance Collection)
AAMP	Castlevania (Europe) (Virtual Console)
AAMP	Castlevania (Europe)
AANJ	Animal Mania - Dokidoki Aishou Check (Japan)
AAOE	Aero the Acro-Bat (USA)
AAOJ	Acrobat Kid (Japan)
AAOP	Aero the Acro-Bat (Europe)
AAPJ	Metalgun Slinger (Japan)
AAQE	Animal Snap - Rescue Them 2 by 2 (USA)
AAQP	Animal Snap - Rescue Them 2 by 2 (Europe)
AARE	Altered Beast - Guardian of the Realms (USA)
AARP	Altered Beast - Guardian of the Realms (Europe) (En,Fr,De,Es,It)
AASJ	World Advance Soccer - Shouri e no Michi (Japan)
AATJ	Family Tennis Advance (Japan)
AAUJ	Shin Megami Tensei (Japan)
AAVE	Atari Anniversary Advance (USA)
AAVP	Atari Anniversary Advance (Europe)
AAWE	Contra Advance - The Alien Wars EX (USA) (Virtual Console)
AAWE	Contra Advance - The Alien Wars EX (USA)
AAWJ	Contra Hard Spirits (Japan) (En) (Virtual Console)
AAWJ	Contra Hard Spirits (Japan) (En)
AAWP	Contra Advance - The Alien Wars EX (Europe) (Virtual Console)
AAWP	Contra Advance - The Alien Wars EX (Europe)
AAXJ	Fantastic Maerchen - Cake-ya-san Monogatari + Doubutsu Chara Navi Uranai - Kosei Shinri Gaku (Japan)
AAYE	Mary-Kate and Ashley - Sweet 16 - Licensed to Drive (USA, Europe)
AAZJ	Ao-Zora to Nakama-tachi - Yume no Bouken (Japan)
AB2E	Breath of Fire II (USA)
AB2J	Breath of Fire II - Shimei no Ko (Japan)
AB2P	Breath of Fire II (Europe)
AB3E	Dave Mirra Freestyle BMX 3 (USA, Europe)
AB4E	Summon Night - Swordcraft Story (USA)
AB4J	Summon Night - Craft Sword Monogatari (Japan)
AB6P	Black Belt Challenge (Europe)
AB7J	Minna no Shiiku Series 1 - Boku no Kabutomushi (Japan)
AB8J	Bakuten Shoot Beyblade 2002 - Ikuze! Bakutou! Chou Jiryoku Battle!! (Japan)
AB9E	Dual Blades (USA)
AB9J	Dual Blades (Japan)
ABCJ	Boku wa Koukuu Kanseikan (Japan) (Rev 1)
ABDE	Boulder Dash EX (USA)
ABDJ	Boulder Dash EX (Japan)
ABDP	Boulder Dash EX (Europe) (En,Fr,De)
ABEE	BattleBots - Beyond the BattleBox (USA)
ABEP	BattleBots - Beyond the BattleBox (Europe) (En,Fr,De)
ABFE	Breath of Fire (USA)
ABFJ	Breath of Fire - Ryuu no Senshi (Japan)
ABFP	Breath of Fire (Europe)
ABFX	Breath of Fire (Europe) (En,Fr,De)
ABGJ	Sweet Cookie Pie (Japan)
ABIJ	Gachasute! Dino Device - Blue (Japan)
ABJE	Broken Sword - The Shadow of the Templars (USA) (En,Fr,De,Es,It)
ABJP	Broken Sword - The Shadow of the Templars (Europe) (En,Fr,De,Es,It)
ABKE	Back Track (USA, Europe)
ABME	Super Bust-A-Move (USA) (En,Fr,Es)
ABMJ	Super Puzzle Bobble Advance (Japan) (En)
ABMP	Super Bust-A-Move (Europe) (En,Fr,De,Es,It)
